File_Name,penguin_ID,Video_ID,Date,Time,Frame_No,Label
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4200.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4200,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4201.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4201,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4202.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4202,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4203.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4203,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4204.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4204,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4205.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4205,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4206.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4206,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4207.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4207,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4208.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4208,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4209.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4209,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4210.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4210,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4211.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4211,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4212.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4212,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4213.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4213,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4214.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4214,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4215.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4215,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4216.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4216,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4217.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4217,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4218.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4218,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4219.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4219,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4220.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4220,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4221.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4221,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4222.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4222,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4223.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4223,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4224.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4224,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4225.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4225,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4226.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4226,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4227.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4227,prey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4228.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4228,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_28_4229.png,GI-LP0238,MOVI0006,2016/10/20,07:52:28,4229,nonprey
GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_52_29_4230.png,GI-LP0238,MOVI0006,2016/10/20,07:52:29,4230,nonprey
